"country_name","country_iso2","week","category","weekly_rank","show_title","season_title","cumulative_weeks_in_top_10"
"South Korea","KR","2022-02-13","Films",1,"Love and Leashes","",1
"South Korea","KR","2022-02-13","Films",2,"Perhaps Love","",1
"South Korea","KR","2022-02-13","Films",3,"13 Hours: The Secret Soldiers of Benghazi","",2
"South Korea","KR","2022-02-13","Films",4,"The Tinder Swindler","",1
"South Korea","KR","2022-02-13","Films",5,"Through My Window","",1
"South Korea","KR","2022-02-13","Films",6,"Boss Level","",1
"South Korea","KR","2022-02-13","Films",7,"Don't Look Up","",8
"South Korea","KR","2022-02-13","Films",8,"레드슈즈","",1
"South Korea","KR","2022-02-13","Films",9,"The Privilege","",1
"South Korea","KR","2022-02-13","Films",10,"1917","",1
"South Korea","KR","2022-02-13","TV",1,"All of Us Are Dead","All of Us Are Dead: Season 1",3
"South Korea","KR","2022-02-13","TV",2,"Our Beloved Summer","Our Beloved Summer: Season 1",10
"South Korea","KR","2022-02-13","TV",3,"Bulgasal: Immortal Souls","Bulgasal: Immortal Souls: Season 1",8
"South Korea","KR","2022-02-13","TV",4,"Itaewon Class","Itaewon Class: Season 1",6
"South Korea","KR","2022-02-13","TV",5,"Prison Playbook","Prison Playbook: Season 1",5
"South Korea","KR","2022-02-13","TV",6,"The One and Only","The One and Only: Season 1",1
"South Korea","KR","2022-02-13","TV",7,"My Mister","My Mister: Season 1",6
"South Korea","KR","2022-02-13","TV",8,"18 Again","18 Again: Season 1",3
"South Korea","KR","2022-02-13","TV",9,"Crash Landing on You","Crash Landing on You: Season 1",2
"South Korea","KR","2022-02-13","TV",10,"I am Solo","I am Solo: Part 5 -",5
"South Korea","KR","2022-02-06","Films",1,"13 Hours: The Secret Soldiers of Benghazi","",1
"South Korea","KR","2022-02-06","Films",2,"Don't Look Up","",7
"South Korea","KR","2022-02-06","Films",3,"Escape From Mogadishu","",8
"South Korea","KR","2022-02-06","Films",4,"The Pirates","",3
"South Korea","KR","2022-02-06","Films",5,"Miracle: Letters to the President","",7
"South Korea","KR","2022-02-06","Films",6,"Crayon Shin-chan the Movie: My Moving Story Cactus Attack","",2
"South Korea","KR","2022-02-06","Films",7,"Jo Pil-ho: The Dawning Rage","",3
"South Korea","KR","2022-02-06","Films",8,"Sinkhole","",10
"South Korea","KR","2022-02-06","Films",9,"Pokémon the Movie: Secrets of the Jungle","",2
"South Korea","KR","2022-02-06","Films",10,"Red Notice","",6
